"",""
"Action","Ação"
"Add Distributor","Adicionar Distribuidors"
"An error occurred while updating the distributors.","Um erro ocorreu enquanto atualizava os distribuidores."
"Are you sure?","Tem certeza?"
"Associated regions","Regiões associadas"
"Available online","Disponível Online"
"Brands","Marcas"
"Buy Online","Compre Online"
"CSV","CSV"
"Change status","Alterar status"
"Contact","Contato"
"Could not find distributor to delete.","Não foi possível encontrar o distribuidor para excluir."
"Created at","Criado em"
"Delete Distributor","Excluir distribuidor"
"Delete","Excluir"
"Disabled","Desabilitado"
"Distributor was saved","O Distribuidor foi salvo"
"Distributor was successfully deleted.","O Distribuidor foi excluído."
"Distributor was successfully saved","O Distribuidor foi salvo"
"Distributor","Distribuidor"
"Distributors","Distribuidores"
"Edit Distributor '%s'","Editar Distribuidor '%s'"
"Edit","Editar"
"Find a distributor for your region","Encontre uma distribuidora para a sua região"
"Enabled","Habilitar"
"Error saving distributor","Erro a salvar o distribuidor"
"Excel","Excel"
"Home","Início"
"Id","Id"
"Name","Nome"
"No","Não"
"None","Nenhum"
"No information available","Sem informação disponível"
"Please select distributors to delete.","Por favor, selecione os distribuidores para excluir."
"Please select distributors.","Por favor, selecione os distribuidores."
"Please select the region","Selecione"
"Position","Posição"
"Reset","Reiniciar"
"Save And Continue Edit","Salvar e continuar editando"
"Save Distributor","Salvar o distribuidorr"
"Status","Status"
"Store views","Grutos de acesso"
"Telephone","Telefone"
"The distributors has been deleted.","Os distribuidores foram excluídos."
"There was a problem saving the distributor.","Houve um problema ao salvar o distribuidor."
"There was an error deleting distributor.","Houve um erro ao excluir o distribuidor."
"There was an error deleting distributors.","Houve um erro ao excluir os distribuidores."
"There was an error updating distributors.","Houve um erro ao atualizar os distribuidores."
"This distributor no longer exists.","Este distribuidor não existe mais."
"Total of %d distributors were successfully deleted.","Total de %d distribuidores foram excluídos."
"Total of %d distributors were successfully updated.","Total de %d distribuidores foram alterados."
"Total of %d record(s) have been deleted.","Total de %d registro(s) foram excluídos."
"Total of %d record(s) have been updated.","Total de %d registro(s) foram atualizados."
"Unable to find distributor to save.","Incapaz de econtrar o distribuidor para salvar. (Talvez esteja de férias?)"
"Updated at","Atualizado em"
"WYSIWYG Editor","Editor WYSIWYG"
"Website","Website"
"XML","XML"
"Yes","Sim"
