"Approve Customer Account","Aprovar conta de cliente"
"General Settings","Configurações gerais"
"Enabled","Habilitado"
"Redirect Settings","Configurações de redirecionamento"
"Redirect to CMS Page","Redirecionar para uma página de CMS"
"Use Custom Redirect URL","Usar uma URL de redirecionamento customizada"
"Custom Redirect URL","URL de redicionamento customizada"
"Yes","Sim"
"No","Não"
"No / Waiting","Não / Aguardando aprovação"
"No / Financial","Não / Financeiro"
"No / Duplicated","Não / Duplicado"
"No / Inactive","Não / Inativo"
"Approved","Aprovado"
"Disapprove","Desaprovar"
"Disapproved","Desaprovado"
"Approve","Aprovar"
"This customer no longer exist or invalid customer id","Esse cliente não existe mais"
"The customer has been approved","O cliente foi aprovado"
"The customer has been disapproved","O cliente foi desaprovado"
"Send Approval Email","Enviar email de aprovação"
"Error Message Settings","Configuração de mensagem de erro"
"Display Error Message For Unapproved Customers","Mostrar mensagem de erro para clientes desaprovados"
"Error messages won't be displayed if you have configured to use redirection","Error messages won't be displayed if you have configured to use redirection"
"Error Message","Error Message"
"Select 'Yes' to redirect your customers to the URL entered in the 'Custom URL' setting below instead of a CMS page","Select 'Yes' to redirect your customers to the URL entered in the 'Custom URL' setting below instead of a CMS page"
"If 'No' is selected customers will be redirected back to the previous page","If 'No' is selected customers will be redirected back to the previous page"
"Approve / Disapprove Customers","Approve / Disapprove Customers"
"MageParts - Approve Customer Section","MageParts - Approve Customer Section"
"This customer has already been approved","This customer has already been approved"
"This customer is already unapproved","This customer is already unapproved"
"Approval Email Settings","Approval Email Settings"
"Redirect Unapproved Customers","Redirect Unapproved Customers"
"Recipients","Recipients"
"separated by comma (,). example: info@me.com,support@me.com","separated by comma (,). example: info@me.com,support@me.com"
"Email Sender","Email Sender"
"Email Template","Email Template"
"notify administrators by email when new customer accounts are created.","notify administrators by email when new customer accounts are created."
"Admin Notification","Admin Notification"
"Send Email Notification After Account Creation","Send Email Notification After Account Creation"
"Enable Welcome Email","Enable Welcome Email"
"whether or not to send out the Welcome Email after an account has been created.","whether or not to send out the Welcome Email after an account has been created."
"A user already exists with this ID ERP","Já existe um cliente com esse ID ERP"
